project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
Gaudenzia Tioga Arms,1828-1830 W TIOGA ST,Under Construction,22,-75.158756,40.007055,2.5,Mercy Neighborhood Ministry,0.324,1,Hunting Park Community Garden,1.239,0,,,3.5,Fair
Tioga Family,1822-26 W TIOGA ST,Complete,24,-75.158665,40.007044,2.5,Mercy Neighborhood Ministry,0.324,1,Hunting Park Community Garden,1.239,0,,,3.5,Fair
Homestart Susquehanna,1626 FRENCH ST,Complete,7,-75.160373,39.986201,2,Bethel Presbyterian Church,0.53,0,,,1.5,Sanctuary Farm at Health Connections,0.871,3.5,Fair
Mill Redevelopment @ A & Indiana,124 E INDIANA AVE,Complete,48,-75.128821,39.994819,2,"Temple University Hospital, Episcopal Campus",0.559,0,,,1.5,4th & Lehigh Farmers Market,0.962,3.5,Fair
Brantwood II,4144 PARKSIDE AVE,Complete,16,-75.208937,39.975842,2.5,West Philadelphia Senior Community Center,0.316,1,The Neighbors Garden at Hatfield House,1.201,0,,,3.5,Fair
Susquehanna Square,1601 DIAMOND ST,Complete,37,-75.159883,39.985401,2,North Philadelphia SDA Church,0.555,0,,,1.5,Sanctuary Farm at Health Connections,0.821,3.5,Fair
Center City Affordability Initiative,1237 BELMONT AVE,Complete,29,-75.212168,39.974544,2.5,West Philadelphia Senior Community Center,0.455,0.5,The Neighbors Garden at Hatfield House,1.409,0.5,52nd & Haverford Farmers Market,1.276,3.5,Fair
4200 Stiles,4211 W STILES ST,Complete,2,-75.210528,39.974458,2.5,West Philadelphia Senior Community Center,0.294,0.5,The Neighbors Garden at Hatfield House,1.272,0.5,52nd & Haverford Farmers Market,1.347,3.5,Fair
Gaudenzia WINNER,1832 W TIOGA ST,Under Construction,13,-75.159711,40.00693,3,Mercy Neighborhood Ministry,0.24,0.5,Hunting Park Community Garden,1.288,0,,,3.5,Fair
Nativity BVM Senior,3255 BELGRADE ST,Complete,63,-75.102608,39.986917,3,Nativity Satellite Program,0,0,,,0,,,3,Fair
Forgotten Blocks II,1923 W SOMERSET ST,Complete,15,-75.163026,39.996847,2.5,Dobbins Technical High School,0.272,0,,,0.5,Sanctuary Farm Phila,1.326,3,Fair
GALA-Golden Age Living Accom,6845-49 LIMEKILN PIKE,Complete,50,-75.15257,40.05814,3,New Era Baptist Church,0.235,0,,,0,,,3,Fair
Allegheny West Plaza,2221 W VENANGO ST,Complete,45,-75.165534,40.00986,2.5,Mercy Neighborhood Ministry,0.35,0.5,Hunting Park Community Garden,1.284,0,,,3,Fair
St. Raymond's House,1330 VERNON RD,Complete,28,-75.166865,40.071834,1.5,Upper Room Missionary Baptist Church,0.917,0,,,1.5,Uptown Farmer's Market on Wadsworth Avenue ,0.955,3,Fair
Station House,2601 N BROAD ST,Complete,108,-75.154362,39.992203,2,Urban Creators,0.548,0,,,1,4th & Lehigh Farmers Market,1.043,3,Fair
Apartments at Cliveden,315 W JOHNSON ST,Complete,62,-75.188453,40.040615,2,Brand New Life Christian Center,0.573,0.5,Pleasant Playground Community Garden,1.484,0.5,Grumblethorpe Youth Farmstand,1.351,3,Fair
Liberty at Welsh Road,2628 WELSH RD,Complete,2,-75.03193,40.070087,3,"The Reid Foundation, Inc. at Always Independent",0.178,0,,,0,,,3,Fair
The Lofts at 2601,2601 N BROAD ST,Complete,56,-75.154362,39.992203,2,Urban Creators,0.548,0,,,1,4th & Lehigh Farmers Market,1.043,3,Fair
Ogontz III,7100 OGONTZ AVE,Complete,15,-75.152173,40.06228,3,West Oak Lane Senior Center,0.166,0,,,0,,,3,Fair
Wynne Senior Residences,2001-11 N 54TH ST,Complete,50,-75.232134,39.986678,3,St. Barbara,0.098,0,,,0,,,3,Fair
Port Richmond,2423-29 E CAMBRIA ST,Complete,32,-75.17099,39.999255,2.5,Allegheny West Foundation,0.379,0,,,0.5,Strawberry Mansion Farmers Market,1.256,3,Fair
Parkside II,5130 VIOLA ST,Complete,7,-75.222802,39.980257,2.5,Parkside Association of Philadelphia,0.284,0,,,0.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),1.383,3,Fair
St. Joseph's,1527 W ALLEGHENY AVE,Complete,62,-75.155518,40.00246,2.5,Gather the People House of Prayer,0.286,0.5,Hunting Park Community Garden,1.403,0,,,3,Fair
NewCourtland at Allegheny II,1900 W ALLEGHENY AVE,Complete,105,-75.160674,40.002064,3,Philadelphia Senior Center - Allegheny Branch,0,0,,,0,,,3,Fair
Paschall Senior 202,6901 WOODLAND AVE,Complete,63,-75.240799,39.921814,2.5,Southwest Senior Center,0.471,0,,,0,,,2.5,Poor
111 W Erie,111 W ERIE AVE,Complete,0,-75.128296,40.007905,2.5,St. Christopher's Hospital WIC Office,0.337,0,,,0,,,2.5,Poor
2201 E Tioga Apartments (Sepviva Lofts),2201 E TIOGA ST,Under Construction,51,-75.100839,39.994891,2.5,Mission of St. Joan of Arc Food Cupboard,0.267,0,,,0,,,2.5,Poor
Fairthorne Senior,6761-63 RIDGE AVE,Complete,40,-75.225453,40.041594,1,The Center at Journey’s Way,1.239,0,,,1.5,Henry Got Crops Farm Market,0.825,2.5,Poor
Inglis Gardens Washington 811,1200-06 E WASHINGTON LN,Complete,15,-75.16746,40.056302,1.5,New Era Baptist Church,0.951,1,Pleasant Playground Community Garden,1.006,0,,,2.5,Poor
Wynnefield Place,1717-25 N 54TH ST,Complete,48,-75.231065,39.983572,2.5,St. Barbara,0.316,0,,,0,,,2.5,Poor
Edgewood Manor II,1508 W ALLEGHENY AVE,Complete,56,-75.155229,40.001399,2.5,Gather the People House of Prayer,0.254,0,,,0,,,2.5,Poor
Twin Homes at Frankford Creek,1501 E CAYUGA ST,Complete,50,-75.097177,40.013521,2,Padre Pio Prayer Center Food Distribution (St. Joachim),0.59,0,,,0.5,Frankford Transportation Center Farmers Market,1.487,2.5,Poor
Janney Apartments,2855 JANNEY STREET,Complete,47,-75.115676,39.986128,2,BenePhilly Center at Impact Services,0.744,0,,,0.5,Youth-Led Raices Farmstand,1.386,2.5,Poor
Loney Rhawn,1710 RHAWN ST,Under Construction,16,-75.061079,40.064567,2,Northeast WIC Office,0.641,0,,,0,,,2,Poor
Project Advantage,4700 E ROOSEVELT BLVD,Complete,12,-75.098363,40.027972,1.5,Iglesia Christiana Avivamiento,0.781,0,,,0.5,Frankford Transportation Center Farmers Market,1.45,2,Poor
Project Hope,6818 N 17TH ST,Complete,2,-75.145806,40.057836,2,New Era Baptist Church,0.559,0,,,0,,,2,Poor
Evangelical Senior Housing d/b/a Manor Glen Apts,8401 E ROOSEVELT BLVD,Under Construction,50,-75.040595,40.062306,2,Northeast Older Adult Center,0.736,0,,,0,,,2,Poor
Manor Glen,8401 ROOSEVELT BOULEVARD,Complete,50,-75.040595,40.062306,2,Northeast Older Adult Center,0.736,0,,,0,,,2,Poor
HELP Philadelphia IV,7100 GROVERS AVE,Complete,60,-75.23561,39.911573,2,Southwest Senior Center,0.561,0,,,0,,,2,Poor
Carl Mackley Apartments,1401 E BRISTOL ST,Complete,184,-75.098581,40.012723,2,Padre Pio Prayer Center Food Distribution (St. Joachim),0.725,0,,,0,,,2,Poor
Liberty Community Integration Program,7600 E ROOSEVELT BLVD,Complete,5,-75.052424,40.050816,2,Northeast WIC Office,0.748,0,,,0,,,2,Poor
Northeast Affordability Initiative,7900 CASTOR AVE,Complete,38,-75.058653,40.059631,2,Northeast WIC Office,0.523,0,,,0,,,2,Poor
Inglis Gardens at Eastwick II,3026-70 MARIO LANZA BLVD,Complete,18,-75.242638,39.901827,2,St Paul A.M.E. Church,0.709,0,,,0,,,2,Poor
Father Augustus Tolton Place,2604 ISLAND AVE,Complete,45,-75.242959,39.910116,1.5,Southwest Senior Center,0.84,0,,,0,,,1.5,Poor
2640 East Lehigh Ave,2640 E LEHIGH AVE,Under Construction,36,-75.114793,39.977999,1.5,Nativity Satellite Program,0.937,0,,,0,,,1.5,Poor
Bernice Arms/6000 Baltimore,6000 BALTIMORE AVE,Complete,46,-75.243654,39.944382,1,New Testament Church of God,1.058,0,,,0.5,Black Farmers Market,1.313,1.5,Poor
