project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
Cecil B. Moore III-2,1704 N 19TH ST,Complete,54,-75.166012,39.980161,2.5,King Older Adult Center,0.414,1,Brewerytown Garden,1.149,2.5,Sanctuary Farm Phila,0.478,6,Good
Strawberry Mansion I,1900 N 31ST ST,Complete,25,-75.184634,39.985377,2.5,Gideon School,0.36,1.5,Brewerytown Garden,0.852,2,Strawberry Mansion Farmers Market,0.564,6,Good
Ruby Housing,129 N RUBY ST,Complete,11,-75.227391,39.962665,2.5,Firehouse Active Adult Center,0.333,1,Garden Court Community Garden,1.118,2.5,52nd & Haverford Farmers Market,0.322,6,Good
St. Columba's,4133 CHESTNUT ST,Complete,40,-75.20582,39.956347,2.5,UC Hospitality Coalition (Woodland),0.38,1.5,Garden Court Community Garden,0.917,2,Clark Park Farmers Market,0.6,6,Good
Greenwich Whitman II,141 DURFOR ST,Complete,13,-75.1501,39.918981,2.5,South Philly Community Fridge at Mifflin Sq. Park,0.353,1.5,Growing Homes Community Garden,0.783,2,Dickinson Square Farmers' Market ,0.7,6,Good
Queen and McKeen,424 W QUEEN LN,Complete,4,-75.175693,40.024725,2,Holsey Temple CME Church,0.696,2,Fernhill Food Forest,0.691,2,Grumblethorpe Youth Farmstand,0.623,6,Good
Francis House,4460 FAIRMOUNT AVE,Complete,60,-75.212642,39.963964,2.5,West Philadelphia SDA,0.298,1.5,Garden Court Community Garden,0.992,2,52nd & Haverford Farmers Market,0.725,6,Good
CBM Homeownership Zone Historic,1737 N 18TH ST,Complete,6,-75.163778,39.980711,2.5,North Philadelphia SDA Church,0.381,1,Brewerytown Garden,1.17,2.5,Sanctuary Farm Phila,0.498,6,Good
North Phila Complete Blocks - Morse,1900 MORSE ST,Complete,1,-75.165589,39.981582,2.5,King Older Adult Center,0.377,1,Brewerytown Garden,1.112,2.5,Sanctuary Farm Phila,0.441,6,Good
Genesis II,1239 SPRING GARDEN ST,Complete,20,-75.158945,39.962563,3,Chosen 300,0.177,2,The Spring Gardens,0.622,1,Fairmount Farmers' Market,1.017,6,Good
Preston Street,418-28 N PRESTON ST,Complete,7,-75.145117,39.962305,2,Northern Living Center,0.502,2,FNC Community Learning Farm at 8th and Poplar,0.65,2,Northern Liberties Farmers Market ,0.61,6,Good
LCIP III,5526 VINE ST,Complete,14,-75.231191,39.96526,2.5,Firehouse Active Adult Center,0.295,1,Cobbs Creek Park Community Garden,1.247,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.288,6,Good
Booth Manor II 202,5522 ARCH ST,Complete,50,-75.230482,39.961912,2.5,Firehouse Active Adult Center,0.446,1,Cobbs Creek Park Community Garden,1.079,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.439,6,Good
Cecil B. Moore Village,1614 N 16TH ST,Complete,34,-75.161597,39.978195,3,North Philadelphia SDA Church,0.014,1,The Spring Gardens,1.034,2,Sanctuary Farm Phila,0.561,6,Good
Cecil B. Moore Homeownership Zone I-A-1,1623-31 N 18TH ST,Complete,3,-75.174911,39.930608,2.5,Bethany Indonesian Church,0.377,1.5,South Philadelphia Older Adult Center Garden,0.813,2,Point Breeze Community Market,0.514,6,Good
Dewey Street,119 N RUBY ST,Complete,10,-75.227436,39.962448,2.5,Firehouse Active Adult Center,0.333,1,Garden Court Community Garden,1.118,2.5,52nd & Haverford Farmers Market,0.322,6,Good
Elders Place 202,76-88 COLLOM ST,Complete,40,-75.164748,40.031922,2.5,Holsey Temple CME Church,0.481,1,Fernhill Food Forest,1.14,2.5,Germantown Kitchen Garden,0.266,6,Good
The Queen Senior Apartments,328 W QUEEN LN,Under Construction,49,-75.174208,40.025662,2,Holsey Temple CME Church,0.697,2,Fernhill Food Forest,0.626,2,Grumblethorpe Youth Farmstand,0.624,6,Good
Avondale Housing,110 N PEACH ST,Complete,18,-75.22726,39.962236,2.5,Firehouse Active Adult Center,0.358,1,Garden Court Community Garden,1.092,2.5,52nd & Haverford Farmers Market,0.296,6,Good
Chatham AKA The Willows at Walnut Hill,242-52 S 49TH ST,Complete,40,-75.219764,39.96284,2,Firehouse Active Adult Center,0.518,1.5,Garden Court Community Garden,0.825,2.5,52nd & Haverford Farmers Market,0.372,6,Good
Dignity Project III,235 HANSBERRY ST,Complete,8,-75.172345,40.026562,2,Holsey Temple CME Church,0.583,2,Fernhill Food Forest,0.666,2,Grumblethorpe Youth Farmstand,0.509,6,Good
Cecil Housing,106 N DEWEY ST,Complete,11,-75.243239,39.964125,2.5,Reconciliation And Liberty Bible Church,0.291,2.5,Cobbs Creek Park Community Garden,0.342,1,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),1.057,6,Good
Simpson Senior Services,1001-11 GREEN ST,Complete,40,-75.154362,39.962649,3,Chosen 300,0.228,2,FNC Community Learning Farm at 8th and Poplar,0.664,1,Northern Liberties Farmers Market ,1.218,6,Good
Gaudenzia West Mill Place,916 -36 NORTH 51ST STREET,Complete,30,-75.222903,39.968644,3,The Charles Foundation,0.204,0.5,Garden Court Community Garden,1.326,2.5,52nd & Haverford Farmers Market,0.381,6,Good
CBM Homeownership Zone II,1400 N BOUVIER ST,Complete,43,-75.164549,39.975632,2.5,North Philadelphia SDA Church,0.338,1.5,The Spring Gardens,0.798,2,Sanctuary Farm Phila,0.512,6,Good
Yorktown Arms,1400 N 13TH ST,Complete,56,-75.156794,39.97494,2.5,MAP Holistic CDC (Mankind Against Poverty),0.4,2,FNC Community Learning Farm at 8th and Poplar,0.74,1.5,Sanctuary Farm at Health Connections,0.79,6,Good
Norris Square Senior,2121-37 N HOWARD ST,Complete,35,-75.148963,39.921436,2,South Philly Community Fridge at Mifflin Sq. Park,0.528,2,Growing Homes Community Garden,0.635,2,Dickinson Square Farmers' Market ,0.549,6,Good
APM Preservation,2011-25 N MARSHALL ST,Complete,80,-75.145183,39.981896,2.5,Norris Homes/North Central Community Center,0.352,1,FNC Community Learning Farm at 8th and Poplar,1.118,2.5,Sanctuary Farm at Health Connections,0.277,6,Good
Preservation Projects,2825-29 DIAMOND ST,Complete,112,-75.179724,39.987739,2.5,Gideon School,0.36,1.5,Brewerytown Garden,0.839,2,Strawberry Mansion Farmers Market,0.542,6,Good
Sears Street II,2731-33 SEARS ST,Complete,1,-75.189479,39.936553,3,Church of Pentecost,0.155,1,Schuylkill River Park Community Garden,1.192,2,Point Breeze Community Market,0.568,6,Good
31st & Berks,3104 W BERKS ST,Complete,10,-75.184728,39.985107,2.5,Gideon School,0.36,1.5,Brewerytown Garden,0.852,2,Strawberry Mansion Farmers Market,0.564,6,Good
Francisville East,1500 POPLAR ST,Complete,44,-75.161886,39.970291,2.5,MAP Holistic CDC (Mankind Against Poverty),0.325,2,The Spring Gardens,0.578,1.5,Fairmount Farmers' Market,0.804,6,Good
Ralston/Mercy Douglas House,3817-39 MARKET ST,Complete,55,-75.198307,39.956722,3,UC Hospitality Coalition (Philadelphia Episcopal Cathedral),0.076,0.5,Garden Court Community Garden,1.398,2.5,University Square,0.428,6,Good
YouthBuild,349 HANSBERRY ST,Complete,4,-75.173813,40.024815,2,Holsey Temple CME Church,0.723,2,Fernhill Food Forest,0.546,2,Grumblethorpe Youth Farmstand,0.649,6,Good
Kings Village,2737 TITAN ST,Complete,21,-75.189849,39.937528,3,Church of Pentecost,0.237,1,Schuylkill River Park Community Garden,1.177,2,Point Breeze Community Market,0.7,6,Good
Jardines de Borinquen II,2016 N MARSHALL ST,Complete,45,-75.145204,39.981982,2.5,Norris Homes/North Central Community Center,0.352,1,FNC Community Learning Farm at 8th and Poplar,1.118,2.5,Sanctuary Farm at Health Connections,0.277,6,Good
Jardines del Borinquen I,2024 N 6TH ST,Complete,45,-75.144357,39.982242,2.5,Norris Homes/North Central Community Center,0.447,1,FNC Community Learning Farm at 8th and Poplar,1.212,2.5,Sanctuary Farm at Health Connections,0.373,6,Good
Bartram Village I,2639 S 58TH ST,Under Construction,52,-75.21764,39.928202,2.5,Ezekiel Baptist Church,0.341,1,Kingsessing Community Garden,1.19,2.5,Sankofa Farmstand,0.34,6,Good
Casa Nueva Vida,2629-41 N 6TH ST,Complete,12,-75.15806,39.91607,2.5,South Philly Community Fridge at Mifflin Sq. Park,0.278,2,Growing Homes Community Garden,0.655,1.5,Dickinson Square Farmers' Market ,0.968,6,Good
Rowan Homes I,2721-33 DIAMOND ST,Complete,8,-75.178393,39.987561,2.5,Gideon School,0.343,1.5,Brewerytown Garden,0.822,2,Strawberry Mansion Farmers Market,0.606,6,Good
Partnership CDC,14 S 51ST ST,Complete,8,-75.223251,39.959307,2,Firehouse Active Adult Center,0.688,2,Garden Court Community Garden,0.705,2,Black Farmers Market,0.525,6,Good
Walnut Park Plaza,6232-50 WALNUT ST,Complete,227,-75.246044,39.959499,2.5,Reconciliation And Liberty Bible Church,0.426,2.5,Cobbs Creek Park Community Garden,0.29,0.5,Black Farmers Market,1.38,5.5,Good
South 55th Street,800 S 55TH ST,Complete,20,-75.233726,39.94794,2.5,New Testament Church of God,0.467,1,Kingsessing Community Garden,1.018,2,Black Farmers Market,0.722,5.5,Good
Spencer's Place,716-30 N 36TH ST,Complete,22,-75.195066,39.966614,3,Mighty Writers West,0.079,1,The Neighbors Garden at Hatfield House,1.247,1.5,University Square,0.938,5.5,Good
School of Nursing,115 E HUNTINGDON ST,Complete,50,-75.132137,39.989436,3,"Temple University Hospital, Episcopal Campus",0.224,0,,,2.5,4th & Lehigh Farmers Market,0.427,5.5,Good
Holmes School,5429-55 CHESTNUT ST,Complete,42,-75.229916,39.959088,2,Firehouse Active Adult Center,0.546,1.5,Garden Court Community Garden,0.99,2,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.539,5.5,Good
Liberty 52: Stephen F. Gold Community Residences,5208-28 POPLAR ST,Complete,24,-75.225768,39.970465,3,The Charles Foundation,0.091,0,,,2.5,52nd & Haverford Farmers Market,0.389,5.5,Good
Lower Germantown II,50 COLLOM ST,Complete,34,-75.165054,40.03139,2,Holsey Temple CME Church,0.541,1,Fernhill Food Forest,1.154,2.5,Germantown Kitchen Garden,0.326,5.5,Good
HELP Philadelphia I & II Refinancing,4910 WYALUSING STREET,Complete,90,-75.220129,39.970055,3,Philadelphia Masjid,0.195,0.5,Garden Court Community Garden,1.328,2,52nd & Haverford Farmers Market,0.598,5.5,Good
Ann Thomas Presbyterian,2000 SOUTH 58TH STREET,Complete,75,-75.226707,39.933195,2.5,Ezekiel Baptist Church,0.409,1.5,Kingsessing Community Garden,0.849,1.5,Sankofa Farmstand,0.821,5.5,Good
Homestart WP EZ,1223 N 53RD ST,Complete,3,-75.227118,39.971948,3,Bible Way Baptist Church,0.218,0,,,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.477,5.5,Good
Yorktown Arms,1300 W JEFFERSON ST,Complete,56,-75.157426,39.975712,2.5,North Philadelphia SDA Church,0.325,1.5,FNC Community Learning Farm at 8th and Poplar,0.842,1.5,Sanctuary Farm at Health Connections,0.798,5.5,Good
Westpark Redevelopment Townhomes Phase 1,4401 HOLDEN ST,Under Construction,41,-75.210788,39.959691,2.5,West Philadelphia SDA,0.379,1.5,Garden Court Community Garden,0.786,1.5,Clark Park Farmers Market,0.872,5.5,Good
Belfield Avenue Townhomes,1735 BELFIELD AVE,Complete,3,-75.152487,40.029405,2.5,The Word in Action International Ministries,0.446,1.5,Hunting Park Community Garden,0.974,1.5,Germantown Kitchen Garden,0.968,5.5,Good
HELP I II,4807 WESTMINSTER AVE,Complete,90,-75.218923,39.969482,3,Philadelphia Masjid,0.162,0.5,Garden Court Community Garden,1.34,2,52nd & Haverford Farmers Market,0.723,5.5,Good
New Covenant Senior,7406 GERMANTOWN AVE,Complete,56,-75.196008,40.062832,2,The H.O.P.E. Food Pantry,0.574,1,Pleasant Playground Community Garden,1.048,2.5,Chestnut Hill Farmers' Market,0.385,5.5,Good
Doctor's Row II,1613 CHRISTIAN ST,Complete,10,-75.170012,39.940682,2.5,Tindley Temple Soup Kitchen,0.338,1.5,Waverly Street Community Garden,0.842,1.5,Point Breeze Community Market,0.818,5.5,Good
Liberty53 - Estelle B Richman Place,607 N 53RD ST,Under Construction,31,-75.226666,39.969737,3,The Charles Foundation,0.139,0,,,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.321,5.5,Good
Taino Gardens,604 W DAUPHIN ST,Complete,42,-75.143835,39.98607,2.5,Urban Creators,0.416,0.5,FNC Community Learning Farm at 8th and Poplar,1.426,2.5,Youth-Led Raices Farmstand,0.482,5.5,Good
Village Square on Haverford - Phase II,3600 HAVERFORD AVENUE,Complete,32,-75.194552,39.963731,3,Interfaith Food Cupboard,0.188,0.5,The Neighbors Garden at Hatfield House,1.4,2,University Square,0.743,5.5,Good
Mantua 811,3613-19 FAIRMOUNT AVE,Complete,10,-75.195152,39.966024,3,Mighty Writers West,0.045,1,The Neighbors Garden at Hatfield House,1.244,1.5,University Square,0.902,5.5,Good
Chinatown North II,314 N 9TH ST,Complete,10,-75.153957,39.957837,3,On Lok House Satellite,0.232,1.5,FNC Community Learning Farm at 8th and Poplar,0.836,1,Christ Church Farmer's Market,1.115,5.5,Good
Diamond III,3200 DIAMOND ST,Complete,35,-75.185596,39.988243,2,Gideon School,0.53,1,Brewerytown Garden,1.014,2.5,Strawberry Mansion Farmers Market,0.318,5.5,Good
WPRE II,3605 BRANDYWINE ST,Complete,40,-75.194811,39.963287,3,Interfaith Food Cupboard,0.151,0.5,The Neighbors Garden at Hatfield House,1.437,2,University Square,0.706,5.5,Good
Karen Donnally/Iris Nydia Brown Townhomes Preservation,312 W DIAMOND STREET,Complete,44,-75.140099,39.982406,2.5,CHCS Norris Square Center,0.342,0.5,FNC Community Learning Farm at 8th and Poplar,1.46,2.5,Youth-Led Raices Farmstand,0.272,5.5,Good
Rafael Porrata-Doria Place,2739 N 5TH ST,Complete,30,-75.139744,39.993228,2.5,Lehigh WIC Office,0.297,0,,,3,4th & Lehigh Farmers Market,0.217,5.5,Good
Winghocking Street,2006 W WINGOHOCKING ST,Complete,2,-75.158407,40.022612,2.5,The Word in Action International Ministries,0.445,1.5,Fernhill Food Forest,0.864,1.5,Grumblethorpe Youth Farmstand,0.876,5.5,Good
Greenway Presbyterian 202,2050 S 58TH ST,Complete,68,-75.226901,39.934014,2.5,Ezekiel Baptist Church,0.446,1.5,Kingsessing Community Garden,0.839,1.5,Sankofa Farmstand,0.858,5.5,Good
Carroll Park,1313 N 59TH ST,Complete,7,-75.237607,39.972169,2.5,Episcopal Community Services,0.256,1,Cobbs Creek Park Community Garden,1.081,2,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.719,5.5,Good
Mary Field Senior Apartments,2100 SOUTH 58TH STREET,Complete,168,-75.226101,39.933056,2.5,Ezekiel Baptist Church,0.423,1.5,Kingsessing Community Garden,0.862,1.5,Sankofa Farmstand,0.834,5.5,Good
210 Clapier,210 W CLAPIER ST,Complete,1,-75.167078,40.024664,1.5,Holsey Temple CME Church,0.757,2,Fernhill Food Forest,0.559,2,Grumblethorpe Youth Farmstand,0.678,5.5,Good
Homeownership Rehabilitation Project - Southwest Renewal,2043 S CECIL ST,Complete,9,-75.22577,39.934365,2.5,Ezekiel Baptist Church,0.399,1.5,Kingsessing Community Garden,0.805,1.5,Sankofa Farmstand,0.808,5.5,Good
Lehigh Park II Repairs,2622 N LAWRENCE ST,Complete,28,-75.139685,39.991203,2.5,Lehigh WIC Office,0.266,0,,,3,4th & Lehigh Farmers Market,0.03,5.5,Good
Lehigh Park I Repairs,2600-20 N LAWRENCE ST,Complete,48,-75.155644,39.916161,2.5,South Philly Community Fridge at Mifflin Sq. Park,0.397,1.5,Growing Homes Community Garden,0.813,1.5,Dickinson Square Farmers' Market ,0.894,5.5,Good
Hunter School,2315 N HOWARD ST,Complete,50,-75.132885,39.985323,3,CHCS Norris Square Center,0.198,0,,,2.5,Youth-Led Raices Farmstand,0.295,5.5,Good
Hogar de Esperanza Phase III,2203 GERMANTOWN AVENUE,Complete,20,-75.144042,39.985776,2.5,Urban Creators,0.424,0.5,FNC Community Learning Farm at 8th and Poplar,1.416,2.5,Youth-Led Raices Farmstand,0.492,5.5,Good
Los Balcones,100 WEST NORRIS STREET,Complete,21,-75.133259,39.980145,3,CHCS Norris Square Center,0.216,0,,,2.5,Youth-Led Raices Farmstand,0.379,5.5,Good
Bethesda Transitional,816 S 20TH ST,Complete,16,-75.175969,39.941532,2,Tindley Temple Soup Kitchen,0.594,1.5,Schuylkill River Park Community Garden,0.826,2,Point Breeze Community Market,0.555,5.5,Good
La Torre,104 W NORRIS ST,Complete,10,-75.133894,39.980082,3,CHCS Norris Square Center,0.196,0,,,2.5,Youth-Led Raices Farmstand,0.359,5.5,Good
Woodcrest,104 S CECIL ST,Complete,11,-75.236702,39.959556,2.5,Reconciliation And Liberty Bible Church,0.473,1.5,Cobbs Creek Park Community Garden,0.765,1.5,Black Farmers Market,0.904,5.5,Good
Homestart Southwest Center City,1010 S 18TH ST,Complete,1,-75.173211,39.939587,2,Tindley Temple Soup Kitchen,0.521,1.5,Capitolo Community Garden,0.932,2,Point Breeze Community Market,0.627,5.5,Good
Tillmon Villanueva Townhomes,701-17 W SOMERSET ST,Complete,77,-75.143499,39.994171,2.5,Saint John Memorial Baptist Church,0.315,0,,,2.5,4th & Lehigh Farmers Market,0.412,5,Good
Cottage/New Courtland 811,6950 GERMANTOWN AVE,Complete,78,-75.188719,40.055348,2,The H.O.P.E. Food Pantry,0.57,2,Pleasant Playground Community Garden,0.659,1,Chestnut Hill Farmers' Market,1.032,5,Good
Mt. Vernon Manor II,3202 MANTUA AVE,Complete,46,-75.189896,39.96603,3,Mighty Writers West,0.245,1,The Neighbors Garden at Hatfield House,1.189,1,University Square,1.111,5,Good
My Place in Germantown,209 E PRICE ST,Complete,12,-75.173601,40.039005,3,Face to Face Germantown,0.026,0,,,2,Germantown Kitchen Garden,0.676,5,Good
New Kensington,2045 E DAUPHIN ST,Complete,8,-75.130373,39.982617,2.5,CHCS Norris Square Center,0.266,0,,,2.5,Youth-Led Raices Farmstand,0.366,5,Good
Susquehanna Housing,2601 WEST FLETCHER STREET,Complete,80,-75.175501,39.989622,2,Women Walking in Victory,0.507,1,Brewerytown Garden,1.043,2,Strawberry Mansion Farmers Market,0.691,5,Good
Rites of Passage,2625 KENSINGTON AVE,Complete,10,-75.126544,39.989038,3,Community Center at Visitation,0.066,0,,,2,4th & Lehigh Farmers Market,0.728,5,Good
Homestart WP EZ,1320 FARSON ST,Complete,3,-75.223596,39.973777,3,Bible Way Baptist Church,0.122,0,,,2,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.745,5,Good
North Phila Community Help,2705 N 11TH ST,Complete,43,-75.14894,39.993761,3,Saint John Memorial Baptist Church,0.239,0,,,2,4th & Lehigh Farmers Market,0.635,5,Good
APM Townhouses,2147 N 7TH ST,Complete,8,-75.145241,39.984404,2,Norris Homes/North Central Community Center,0.517,0.5,FNC Community Learning Farm at 8th and Poplar,1.302,2.5,Sanctuary Farm at Health Connections,0.458,5,Good
Projecto Escalera,2353 GERMANTOWN AVE,Complete,27,-75.145867,39.988002,2.5,Urban Creators,0.303,0.5,FNC Community Learning Farm at 8th and Poplar,1.442,2,Sanctuary Farm at Health Connections,0.594,5,Good
Center in the Park,24-50 W RITTENHOUSE ST,Complete,70,-75.176733,40.037493,3,"BenePhilly Center at Impact Services at PA CareerLink, Northwest",0.094,0,,,2,Grumblethorpe Youth Farmstand,0.632,5,Good
Coral Street Art House,2446-68 CORAL STREET,Under Construction,27,-75.128461,39.983892,2.5,St. Francis Inn,0.26,0,,,2.5,Youth-Led Raices Farmstand,0.496,5,Good
Imani Homes III,301 N 41ST ST,Complete,5,-75.204942,39.959069,2.5,Chosen 300 West,0.449,1,Garden Court Community Garden,1.052,1.5,Clark Park Farmers Market,0.823,5,Good
New Kensington,2020 E SERGEANT ST,Complete,10,-75.126465,39.985578,3,The Table - Calvary Vision,0.246,0,,,2,Youth-Led Raices Farmstand,0.665,5,Good
Project Restoration,2850 N 9TH ST,Complete,14,-75.145889,39.995702,3,Saint John Memorial Baptist Church,0.046,0,,,2,4th & Lehigh Farmers Market,0.68,5,Good
Imani Homes II,310 N 41ST ST,Complete,7,-75.205534,39.959275,2.5,Chosen 300 West,0.477,1,Garden Court Community Garden,1.023,1.5,Clark Park Farmers Market,0.795,5,Good
Maple Village,22 WEST RITTENHOUSE STREET,Under Construction,70,-75.176457,40.037765,3,"BenePhilly Center at Impact Services at PA CareerLink, Northwest",0.058,0,,,2,Grumblethorpe Youth Farmstand,0.595,5,Good
Nicetown Court II,4413-21 GERMANTOWN AVE,Complete,50,-75.158114,40.021693,2,The Word in Action International Ministries,0.529,1.5,Fernhill Food Forest,0.852,1.5,Grumblethorpe Youth Farmstand,0.948,5,Good
Angela Court II,4400-58 FAIRMOUNT AVE,Complete,121,-75.210846,39.964513,2.5,West Philadelphia SDA,0.294,1,Garden Court Community Garden,1.063,1.5,52nd & Haverford Farmers Market,0.796,5,Good
Nicetown Court,4330-50 GERMANTOWN AVE,Complete,37,-75.156386,40.019944,2,The Word in Action International Ministries,0.53,2,Hunting Park Community Garden,0.717,1,Grumblethorpe Youth Farmstand,1.092,5,Good
Sojourner House,6027-33 GERMANTOWN AVE,Complete,15,-75.178308,40.040099,3,Germantown Community Fridge,0.055,0.5,Pleasant Playground Community Garden,1.456,1.5,Grumblethorpe Youth Farmstand,0.793,5,Good
Adolfina Villanueva II,719-35 WEST SOMERSET STREET,Complete,30,-75.144145,39.994258,2.5,Saint John Memorial Baptist Church,0.28,0,,,2.5,4th & Lehigh Farmers Market,0.446,5,Good
Rights of Passage II,5603 GERMANTOWN AVE,Complete,12,-75.173668,40.035357,3,Germantown Community Fridge,0.223,0,,,2,Germantown Kitchen Garden,0.521,5,Good
Neuman North Senior,1601 E PALMER ST,Complete,67,-75.132147,39.975428,2.5,Lutheran Settlement House,0.323,0.5,FNC Community Learning Farm at 8th and Poplar,1.449,2,Youth-Led Raices Farmstand,0.749,5,Good
Germantown YMCA,5722 GREENE ST,Complete,128,-75.177822,40.034027,3,Germantown WIC Office,0.166,0,,,2,Grumblethorpe Youth Farmstand,0.643,5,Good
Meadow House - Frankford Senior,4649 PAUL ST,Under Construction,50,-75.083624,40.015288,3,Peter Brassi NE Senior Center,0.227,0,,,2,Frankford Transportation Center Farmers Market,0.704,5,Good
Jameson Court,4435 PARRISH STREET,Complete,72,-75.21226,39.967829,2.5,Philadelphia Masjid,0.391,1,Garden Court Community Garden,1.244,1.5,52nd & Haverford Farmers Market,0.811,5,Good
"Anthony Wayne Senior Housing - Phase I, II, III",1701 S 28TH ST,Complete,130,-75.190452,39.931658,3,Young Chances Foundation,0.159,0,,,2,Point Breeze Community Market,0.745,5,Good
Lindley Court,1300 W LINDLEY AVE,Complete,48,-75.144738,40.029742,3,Our Lady of Hope,0.243,1.5,Hunting Park Community Garden,0.972,0.5,Germantown Kitchen Garden,1.341,5,Good
Imani Homes,4115 BARING ST,Complete,24,-75.206208,39.960241,2.5,Chosen 300 West,0.399,1,Garden Court Community Garden,1.102,1.5,Clark Park Farmers Market,0.876,5,Good
Homestart Southwest Center City,1914 CARPENTER ST,Complete,3,-75.175262,39.940013,2,Tindley Temple Soup Kitchen,0.605,1,Schuylkill River Park Community Garden,1.005,2,Point Breeze Community Market,0.543,5,Good
Pensdale/4200 Mitchell 202,4200 MITCHELL ST,Complete,143,-75.212995,40.027963,3,The Center at Journey’s Way,0.1,0,,,2,Pretzel Park Farmers Market,0.538,5,Good
Overington Transitional House,1528 OVERINGTON ST,Complete,13,-75.085516,40.016,3,Peter Brassi NE Senior Center,0.171,0,,,2,Frankford Transportation Center Farmers Market,0.722,5,Good
Norris Street,1600 PAGE ST,Complete,7,-75.160339,39.983986,2.5,North Philadelphia SDA Church,0.453,0.5,The Spring Gardens,1.473,2,Sanctuary Farm at Health Connections,0.737,5,Good
4008 Haverford,4008 HAVERFORD AVE,Complete,1,-75.202702,39.962646,3,Chosen 300 West,0.039,0.5,Garden Court Community Garden,1.406,1.5,University Square,0.93,5,Good
Families First,3939-49 WARREN ST,Complete,0,-75.201494,39.961838,3,Chosen 300 West,0.124,0.5,Garden Court Community Garden,1.401,1.5,University Square,0.864,5,Good
Jannie's Place,3902-14 SPRING GARDEN ST,Complete,29,-75.20017,39.96196,3,Chosen 300 West,0.133,0.5,Garden Court Community Garden,1.461,1.5,University Square,0.792,5,Good
Imani Homes IV,3934-36 LANCASTER AVE,Complete,8,-75.201473,39.962653,3,Chosen 300 West,0.019,0.5,Garden Court Community Garden,1.454,1.5,University Square,0.901,5,Good
Gloria's Place/3902 Spring Garden,3902 SPRING GARDEN ST,Complete,11,-75.200774,39.961718,3,Chosen 300 West,0.122,0.5,Garden Court Community Garden,1.419,1.5,University Square,0.837,5,Good
Imani Homes Preservation,3857 WARREN ST,Under Construction,55,-75.199648,39.961075,3,Chosen 300 West,0.196,0.5,Garden Court Community Garden,1.464,1.5,University Square,0.769,5,Good
Homestart Mantua,3816-18 FAIRMOUNT AVE,Complete,1,-75.198245,39.965655,3,Mighty Writers West,0.199,0.5,The Neighbors Garden at Hatfield House,1.398,1.5,University Square,0.969,5,Good
Rudolphy/Mercy Douglass 811,3827-33 POWELTON AVE,Complete,17,-75.197932,39.959522,2.5,Interfaith Food Cupboard,0.283,0.5,Garden Court Community Garden,1.459,2,University Square,0.607,5,Good
Inglis Gardens Germantown 811,332-34 E WALNUT LN,Complete,15,-75.174293,40.045217,3,Men Who Care of Germantown Inc,0.162,1,Pleasant Playground Community Garden,1.19,1,Germantown Kitchen Garden,1.128,5,Good
Melon SIL 811,3616-28 MELON ST,Complete,10,-75.195102,39.965432,3,Mighty Writers West,0.075,0.5,The Neighbors Garden at Hatfield House,1.282,1.5,University Square,0.862,5,Good
Homestart WP EZ,4527 PARRISH ST,Complete,2,-75.213495,39.9679,2.5,Philadelphia Masjid,0.318,1,Garden Court Community Garden,1.186,1.5,52nd & Haverford Farmers Market,0.753,5,Good
North Park Avenue,4225-27 N PARK AVE,Under Construction,45,-75.148293,40.017209,2,The Word in Action International Ministries,0.62,3,Hunting Park Community Garden,0.243,0,,,5,Good
Eli Apartments,1418 CONLYN ST,Complete,88,-75.145248,40.042204,3,Olney/Logan WIC Office,0.105,1,Fisher Park Roots Garden,1.093,0.5,Germantown Kitchen Garden,1.488,4.5,Fair
Cloisters III,3900 HAVERFORD AVE,Under Construction,50,-75.199882,39.962938,3,Chosen 300 West,0.123,0,,,1.5,University Square,0.855,4.5,Fair
3909 Haverford Rehab,3909 HAVERFORD AVE,Complete,6,-75.200122,39.96332,3,Chosen 300 West,0.156,0,,,1.5,University Square,0.942,4.5,Fair
Rowan House,325 N 39TH ST,Complete,26,-75.200388,39.959931,2.5,Chosen 300 West,0.37,0.5,Garden Court Community Garden,1.354,1.5,University Square,0.802,4.5,Fair
Mascher Street Townhouses,2742-70 MASCHER ST,Complete,12,-75.132769,39.991848,2.5,Lehigh WIC Office,0.324,0,,,2,4th & Lehigh Farmers Market,0.549,4.5,Fair
Model Cities #6,2200 N 13TH ST,Complete,70,-75.154076,39.986068,2.5,Urban Creators,0.311,0,,,2,Sanctuary Farm at Health Connections,0.642,4.5,Fair
St. John Neumann's Place,2600 MOORE ST,Complete,75,-75.189472,39.930319,3,Young Chances Foundation,0.224,0,,,1.5,Point Breeze Community Market,0.778,4.5,Fair
